"INDIC","Indicator","LOCATION","Country","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PPP","Purchasing Power Parities","AUS","Australia","2009","2009","NATUSD","National currency per US dollar","0","Units",,,1.44,,
"PPP","Purchasing Power Parities","AUS","Australia","2010","2010","NATUSD","National currency per US dollar","0","Units",,,1.5,,
"PPP","Purchasing Power Parities","AUS","Australia","2011","2011","NATUSD","National currency per US dollar","0","Units",,,1.51,,
"PPP","Purchasing Power Parities","AUS","Australia","2012","2012","NATUSD","National currency per US dollar","0","Units",,,1.54,,
"PPP","Purchasing Power Parities","AUS","Australia","2013","2013","NATUSD","National currency per US dollar","0","Units",,,1.45,,
"PPP","Purchasing Power Parities","AUS","Australia","2014","2014","NATUSD","National currency per US dollar","0","Units",,,1.45,,
"PPP","Purchasing Power Parities","AUS","Australia","2015","2015","NATUSD","National currency per US dollar","0","Units",,,1.47,,
"PPP","Purchasing Power Parities","AUS","Australia","2016","2016","NATUSD","National currency per US dollar","0","Units",,,1.45,,
"PPP","Purchasing Power Parities","AUS","Australia","2017","2017","NATUSD","National currency per US dollar","0","Units",,,1.47,,
"PPP","Purchasing Power Parities","AUS","Australia","2018","2018","NATUSD","National currency per US dollar","0","Units",,,1.45,,
"PPP","Purchasing Power Parities","AUS","Australia","2019","2019","NATUSD","National currency per US dollar","0","Units",,,1.47,,
"CPL","Comparative Price Levels","AUS","Australia","2009","2009","OECDIDX","OECD=100","0","Units",,,110,,
"CPL","Comparative Price Levels","AUS","Australia","2010","2010","OECDIDX","OECD=100","0","Units",,,135,,
"CPL","Comparative Price Levels","AUS","Australia","2011","2011","OECDIDX","OECD=100","0","Units",,,148,,
"CPL","Comparative Price Levels","AUS","Australia","2012","2012","OECDIDX","OECD=100","0","Units",,,157,,
"CPL","Comparative Price Levels","AUS","Australia","2013","2013","OECDIDX","OECD=100","0","Units",,,142,,
"CPL","Comparative Price Levels","AUS","Australia","2014","2014","OECDIDX","OECD=100","0","Units",,,135,,
"CPL","Comparative Price Levels","AUS","Australia","2015","2015","OECDIDX","OECD=100","0","Units",,,125,,
"CPL","Comparative Price Levels","AUS","Australia","2016","2016","OECDIDX","OECD=100","0","Units",,,124,,
"CPL","Comparative Price Levels","AUS","Australia","2017","2017","OECDIDX","OECD=100","0","Units",,,130,,
"CPL","Comparative Price Levels","AUS","Australia","2018","2018","OECDIDX","OECD=100","0","Units",,,123,,
"CPL","Comparative Price Levels","AUS","Australia","2019","2019","OECDIDX","OECD=100","0","Units",,,119,,
"CUR","Current PPPs","AUS","Australia","2009","2009","OECDIDX","OECD=100","0","Units",,,119,,
"CUR","Current PPPs","AUS","Australia","2010","2010","OECDIDX","OECD=100","0","Units",,,117,,
"CUR","Current PPPs","AUS","Australia","2011","2011","OECDIDX","OECD=100","0","Units",,,118,,
"CUR","Current PPPs","AUS","Australia","2012","2012","OECDIDX","OECD=100","0","Units",,,115,,
"CUR","Current PPPs","AUS","Australia","2013","2013","OECDIDX","OECD=100","0","Units",,,120,,
"CUR","Current PPPs","AUS","Australia","2014","2014","OECDIDX","OECD=100","0","Units",,,118,,
"CUR","Current PPPs","AUS","Australia","2015","2015","OECDIDX","OECD=100","0","Units",,,113,,
"CUR","Current PPPs","AUS","Australia","2016","2016","OECDIDX","OECD=100","0","Units",,,113,,
"CUR","Current PPPs","AUS","Australia","2017","2017","OECDIDX","OECD=100","0","Units",,,112,,
"CUR","Current PPPs","AUS","Australia","2018","2018","OECDIDX","OECD=100","0","Units",,,114,,
"CUR","Current PPPs","AUS","Australia","2019","2019","OECDIDX","OECD=100","0","Units",,,113,,
"CST","Constant 2015 PPPs","AUS","Australia","2009","2009","OECDIDX","OECD=100","0","Units",,,115,,
"CST","Constant 2015 PPPs","AUS","Australia","2010","2010","OECDIDX","OECD=100","0","Units",,,113,,
